Price,Year,Type,Shift,km,Power,Engine,Seller
30000,2005,Gasoline,Manual,113000,80,1229,Owner
34000,2010,Diesel,Manual,182000,75,1248,Owner
18000,1997,LPG,Manual,275000,76,1401,Owner
18500,2000,Diesel,Manual,232000,51,1401,Owner
30000,2008,Diesel,Manual,194000,75,1248,Owner
30500,2004,LPG,Manual,179000,80,1229,Dealer
41500,2014,Gasoline,Manual,95000,51,1201,Dealer
22000,2001,LPG,Manual,197000,90,1389,Owner
37750,2011,Diesel,Manual,132000,75,1248,Owner
49500,2012,Diesel,Manual,60000,95,1248,Owner
38750,2013,Gasoline,Manual,84000,85,1229,Dealer
39000,2013,Diesel,Manual,134000,95,1248,Owner
42500,2013,Diesel,Manual,78000,75,1248,Owner
42700,2013,Gasoline,Manual,48500,85,1229,Owner
16000,1994,LPG,Manual,237250,60,1389,Owner
21500,1997,Gasoline,Auto,134000,90,1389,Owner
43500,2011,LPG,Auto,89800,100,1364,Owner
19750,2000,Gasoline,Auto,157000,51,1200,Owner
26900,2002,Gasoline,Auto,130000,51,1200,Dealer
41750,2013,Diesel,Manual,99500,75,1248,Owner
19500,1997,Gasoline,Auto,195629,60,1389,Owner
21500,2000,LPG,Manual,185000,90,1389,Owner
45750,2013,LPG,Manual,37000,100,1364,Owner
26000,2005,Diesel,Manual,202000,70,1248,Owner
30750,2004,LPG,Manual,148000,80,1229,Owner
22000,1997,LPG,Manual,132000,76,1201,Owner
18500,1998,LPG,Manual,197000,76,1401,Owner
24500,2005,Diesel,Manual,169000,70,1248,Dealer
17000,1997,LPG,Manual,218000,90,1389,Owner
37000,2013,Gasoline,Manual,83000,85,1229,Owner
42500,2012,Diesel,Manual,150000,101,1201,Owner
39750,2013,Diesel,Manual,98000,75,1248,Dealer
47000,2012,Diesel,Manual,59000,75,1248,Owner
24000,1999,Gasoline,Auto,115800,51,1200,Owner
36000,2013,Diesel,Manual,139000,75,1248,Owner
20500,1997,LPG,Manual,147000,60,1389,Owner
58500,2015,LPG,Auto,42000,76,1201,Owner
18500,2001,Gasoline,Manual,199800,51,1200,Owner
27500,2006,Diesel,Manual,292142,50,1401,Owner
20000,1998,LPG,Manual,227000,60,1389,Owner
30000,2008,Diesel,Manual,133500,75,1248,Owner
19500,1999,Gasoline,Manual,195000,90,1389,Owner
15000,1998,LPG,Manual,180000,90,1389,Owner
42500,2012,Gasoline,Manual,51000,80,1229,Owner
